,Mkt-RF,SMB,HML
198709,-2.58,0.58,0.26
198710,-23.19,-8.27,4.18
198711,-7.76,2.68,3.14
198712,6.82,0.03,-4.42
198801,4.21,-0.75,4.93
198802,4.77,3.33,-1.53
198803,-2.26,6.01,0.86
198804,0.57,0.91,1.51
198805,-0.27,-2.54,2.44
198806,4.78,2.02,-1.35
198807,-1.25,-0.23,2.18
198808,-3.31,0.07,2.14
198809,3.31,-1.34,-0.75
198810,1.16,-2.92,2.03
198811,-2.27,-1.64,1.47
198812,1.48,1.89,-1.83
198901,6.07,-2.19,0.61
198902,-2.23,2.81,0.99
198903,1.57,0.67,0.47
198904,4.35,-0.67,-1.48
198905,3.28,-0.09,-0.9
198906,-1.33,-0.97,2.21
198907,7.18,-4.11,-2.8
198908,1.43,0.57,0.62
198909,-0.76,0.3,-1.27
198910,-3.65,-3.24,-1.16
198911,1.04,-1.19,-1.13
198912,1.18,-2.37,0.15
199001,-7.8,-1.14,0.83
199002,1.12,0.97,0.65
199003,1.83,1.47,-2.9
199004,-3.36,-0.47,-2.57
199005,8.43,-2.56,-3.89
199006,-1.09,1.35,-2
199007,-1.9,-3.08,-0.06
199008,-10.12,-3.5,1.56
199009,-6.11,-3.64,0.59
199010,-1.92,-5.52,0.08
199011,6.35,0.42,-2.97
199012,2.46,0.79,-1.57
199101,4.69,3.78,-1.48
199102,7.19,4.01,-0.62
199103,2.66,3.88,-1.3
199104,-0.28,0.5,1.49
199105,3.66,-0.39,-0.52
199106,-4.94,0.18,1.08
199107,4.24,-0.97,-1.3
199108,2.32,1.58,-0.79
199109,-1.59,1.68,-1.23
199110,1.29,0.77,-0.43
199111,-4.2,-0.51,-1.77
199112,10.85,-2.26,-4.23
199201,-0.59,8.48,4.67
199202,1.08,0.83,6.51
199203,-2.65,-0.97,3.49
199204,1.09,-6.12,4.36
199205,0.3,0.41,1.11
199206,-2.33,-3.1,3.24
199207,3.78,-0.45,-0.51
199208,-2.38,-0.1,-1.09
199209,1.19,0.55,-0.19
199210,1.02,2.11,-1.98
199211,4.14,3.68,-1.52
199212,1.53,1.65,2.64
199301,0.93,1.89,5.9
199302,0.12,-3.39,6.48
199303,2.32,0.29,1.26
199304,-3.05,-0.62,2.55
199305,2.89,2.06,-3.46
199306,0.3,-0.3,2.64
199307,-0.34,0.96,2.87
199308,3.72,0.11,0.18
199309,-0.12,3.09,-0.24
199310,1.42,1.99,-2.78
199311,-1.87,-1.27,-0.78
199312,1.65,1.19,0.25
199401,2.87,0.33,1.1
199402,-2.55,2.76,-1.52
199403,-4.79,-1.08,1.67
199404,0.68,-0.93,1.66
199405,0.58,-2.09,0.6
199406,-3.04,-0.43,1.77
199407,2.82,-1.81,0.61
199408,4.02,1.5,-2.55
199409,-2.28,3.04,-1.81
199410,1.35,-2.16,-1.66
199411,-4.03,0.28,-0.73
199412,0.86,0.17,-0.09
199501,1.8,-3.51,2.59
199502,3.63,-0.61,0.99
199503,2.19,-0.2,-2.13
199504,2.11,-0.51,1.67
199505,2.9,-2.53,2.28
199506,2.72,3.17,-2.54
199507,3.71,2.09,-1.58
199508,0.55,1.31,2.68
199509,3.36,-2.16,-0.11
199510,-1.51,-3.8,-0.49
199511,3.96,-1.12,0.52
199512,1.04,0.66,0.24
199601,2.26,-2.83,0.46
199602,1.33,1.79,-1.05
199603,0.74,1.43,0.42
199604,2.06,5.2,-3.97
199605,2.36,3.2,-0.9
199606,-1.13,-4,2.33
199607,-5.96,-4.3,5.19
199608,2.77,2.45,-0.82
199609,5.01,-1.02,-2.74
199610,0.87,-4.39,4.88
199611,6.25,-4.04,1.4
199612,-1.7,3.12,1.28
199701,4.96,-1.93,-1.44
199702,-0.48,-3.16,5.61
199703,-5.02,-0.33,3.39
199704,4.04,-5.74,0
199705,6.73,5.12,-4.11
199706,4.1,1.21,1.44
199707,7.31,-2.73,0.13
